"assignment","k5","k6","time"
1,0.0391032389655165,2.97237870126201,0
1,0.0424939333026386,3.00846100697095,1
1,0.0402068603762575,3.20580779842599,2
1,0.0407374659295827,2.84819265184722,3
1,0.0389010354369704,2.94652056358801,4
2,0.0419585308759031,3.04317765924688,0
2,0.0366412343209505,3.52328192591341,1
2,0.0311106541843935,3.75442957641637,2
2,0.0287965607651668,2.85400594120444,3
2,0.0251221694425019,2.10326503107265,4
3,0.038291482070421,2.973843010241,0
3,0.0343583928827084,2.91253305248506,1
3,0.0309999371714412,2.79759680271091,2
3,0.0293404592711912,3.01840477414038,3
3,0.0221789809007809,3.15045779052839,4
4,0.0406823427543629,2.96459142204093,0
4,0.041432201057672,3.61537601850396,1
4,0.04131452973062,3.62263683049201,2
4,0.0408862682456601,3.08257059473079,3
4,0.0395104597380161,2.11434347987851,4
1,0.0388884688337272,2.97504992663765,0
1,0.0379753658374908,3.26027471584062,1
1,0.041932739197288,2.8652269700156,2
1,0.0393553842635215,2.94400135756521,3
1,0.0412479441893381,2.98999571202338,4
2,0.0404053096223916,2.99657438935816,0
2,0.0359314072683339,3.67423227408173,1
2,0.0316387664229452,3.72197647253154,2
2,0.0255219955132316,3.16015364995633,3
2,0.0241981667901514,2.18591298824928,4
3,0.0406074231724158,2.93972118562688,0
3,0.0354668681861289,2.87777095402715,1
3,0.0302851340376391,3.03642343696851,2
3,0.0287171356458071,3.00636050720766,3
3,0.0254756279486076,3.24601016227526,4
4,0.0392143501343095,2.7228997349231,0
4,0.0416091816391396,3.42489590849011,1
4,0.0388991862136522,3.6630685643636,2
4,0.0395443631887184,2.94351387452946,3
4,0.0402900855675986,2.14333303650731,4
1,0.0400092226974398,3.04623364813516,0
1,0.0394069439491321,3.07732518582226,1
1,0.03964722150109,3.03981383566988,2
1,0.041754942421039,3.05222177890006,3
1,0.03947850946315,3.13785691421413,4
2,0.0415896061695394,3.06580763514097,0
2,0.0363819707761783,3.43465127087528,1
2,0.034177043917648,3.46796884954234,2
2,0.0314997327888265,3.27391327514222,3
2,0.0236228794254392,2.03682949196319,4
3,0.0388633494980811,3.03082604509878,0
3,0.0356052929944602,2.95829488807227,1
3,0.030477410292376,2.99459667302293,2
3,0.0267441528488687,2.79984696760942,3
3,0.0233916375675396,3.11027959308729,4
4,0.0390794448598266,3.072955718667,0
4,0.0374113876667373,3.50333256413706,1
4,0.0408310515263095,3.57613840346001,2
4,0.0401690819106383,3.01311527900335,3
4,0.0386404730463463,2.03710454512741,4
1,0.0401882345553602,2.88630304629782,0
1,0.0392151080900789,2.96926893693621,1
1,0.0429501792083715,2.92176601179654,2
1,0.0403766185156558,3.00935530194765,3
1,0.0384610293853918,2.99144302966517,4
2,0.0423112813734774,3.05418048636951,0
2,0.0360659726751887,3.45930038011924,1
2,0.0287148044455352,3.6757604656097,2
2,0.0256629758865203,3.17879370130528,3
2,0.027054565710748,1.98673282068338,4
3,0.0411228549365995,2.9685363012717,0
3,0.0334845693453672,2.81823988154619,1
3,0.0294375421222807,2.93629121733956,2
3,0.0256611910640066,3.0825500127571,3
3,0.0273601743048411,2.84555634287578,4
4,0.0412603821559603,3.09228506892011,0
4,0.0405315241263202,3.38899480700676,1
4,0.0398088758293909,3.50635255977957,2
4,0.0409007832531528,3.04530734926754,3
4,0.041563157418697,2.11505029706796,4
1,0.0416843383449269,2.87409875920007,0
1,0.037983751608387,3.38892479219309,1
1,0.0393330278589433,3.03578731098489,2
1,0.0410185114784542,2.94194632491495,3
1,0.0408269792709018,3.04427574328621,4
2,0.0396553911877733,3.00783516402304,0
2,0.0359454923940185,3.76541422788194,1
2,0.0308138622459635,3.40848044795104,2
2,0.0280604614386737,3.12725768993318,3
2,0.0246984375662563,2.10499616007467,4
3,0.0382986781856461,3.15158222113074,0
3,0.0354405593792743,2.8961384564816,1
3,0.0316219526896942,2.97633889267817,2
3,0.0297758724635418,3.01016847506366,3
3,0.0252064860562952,2.94008495793933,4
4,0.0403431124953306,2.9610376906211,0
4,0.0401513336450777,3.40255639704269,1
4,0.0379027175466752,3.77966560616976,2
4,0.0409611341178759,2.93984743660501,3
4,0.0390221345333113,2.01774238984832,4
1,0.043518096558214,3.15748955717202,0
1,0.0395757679092858,3.06518328710785,1
1,0.0393370560833298,2.94285037264613,2
1,0.0387382354594396,2.92864592790486,3
1,0.0426414519477387,2.99351662498975,4
2,0.0401907923782841,3.02924249155189,0
2,0.0379719614055765,3.44807234028663,1
2,0.0304119885593727,3.74108363188838,2
2,0.0272941388529515,3.00323208360722,3
2,0.0220219630097867,2.00583411332186,4
3,0.0390816424331232,3.07415829805998,0
3,0.0377757570222876,3.08491060246027,1
3,0.0314181483246476,3.00716999248615,2
3,0.0268726456581119,2.91393382061112,3
3,0.0254154407983631,2.87812889056757,4
4,0.0431284703447879,2.9891616487241,0
4,0.0403432621226067,3.42137667543125,1
4,0.0390809780963788,3.38195806412337,2
4,0.0397073193786036,3.14027788859094,3
4,0.0405188869506582,2.06621562155343,4
1,0.0387382048466336,2.93973615379886,0
1,0.0423936970717542,2.86352356552011,1
1,0.0397135174489917,3.22828341860147,2
1,0.0398384401834739,2.83681911554143,3
1,0.0389363689035615,3.05825519746859,4
2,0.0393990354053284,2.93257483637403,0
2,0.0354497324253945,3.52085959765671,1
2,0.0345576140338333,3.52937218654333,2
2,0.0297292791938424,3.16569049387807,3
2,0.0238181761671902,1.97605175965313,4
3,0.039166212291916,2.94121554562338,0
3,0.0360754470924184,3.15602384132002,1
3,0.0356689263581298,3.18570972707805,2
3,0.0277869584570737,2.78921671253308,3
3,0.0233779522174852,3.0107048667688,4
4,0.0413520208065079,3.11550335621811,0
4,0.0410948950870663,3.34256707802406,1
4,0.0413594288730134,3.48641313402873,2
4,0.040279684320258,3.09894614126085,3
4,0.0406850668239528,2.16296099793914,4
1,0.0373320398438629,3.08837951577281,0
1,0.0406176425093595,2.96812180496661,1
1,0.0401890312176747,3.01608463744422,2
1,0.0403536311496976,3.1969015399173,3
1,0.0396495193937064,3.02016784606616,4
2,0.0418694141969106,3.12650172280523,0
2,0.0378324209766086,3.44070383987285,1
2,0.0352039723684685,3.54800410451162,2
2,0.030986962951531,2.92789167767631,3
