Complexity,Loss,Equation
1,1.3523725405883239e-5,"0.011834977984069208"
5,1.3523725405882873e-5,"x1 - (x1 - 0.011834977983557753)"
7,3.1326165722691485e-7,"((15.538811470826559 - x1) + -0.6837232028667362) * 0.0011509773708651074"
9,3.132545077010679e-7,"(((x1 * 0.5291191063040407) - 3.909923306200744e-5) * -0.0021766762238620624) + 0.017099903060475725"
11,3.13254507696823e-7,"(((x1 - 0.0005758604903551045) - x1) * (x1 + x1)) + 0.01709998818153137"
